id	px	py	stellar_mass
8062630628	-8.102035e-01	-6.857265e+00	+3.281628e+06
8062631003	+5.880941e+00	-7.004576e+00	+4.125227e+06
8062631788	-7.390789e+00	-8.750034e+00	+2.835035e+06
8062632911	+5.745837e+00	+4.147057e+00	+1.486787e+06
8062633844	-3.315624e+00	+6.999880e+00	+1.301395e+07
8062635366	+2.411153e-01	-8.287896e+00	+9.907973e+06
8062635646	-3.999651e+00	+4.088396e+00	+1.695241e+07
8062636146	+1.692390e+00	+4.139410e+00	+1.836670e+06
8062636716	-6.457982e+00	+2.944570e+00	+7.050586e+06
8062637095	+5.893028e+00	-4.214148e+00	+3.316365e+06
8062637668	+3.715038e+00	-8.809134e+00	+1.752508e+06
8062637737	+6.690173e+00	-7.982296e+00	+3.771810e+06
8062638414	+1.158997e+00	-8.638324e+00	+4.303579e+06
8062638868	+1.964683e+00	+4.057221e+00	+3.728463e+06
8062640056	+7.455959e+00	-1.125667e+00	+4.325447e+06
8062640179	+8.803451e-01	-5.398519e+00	+3.542619e+06
8062641338	-5.705894e-01	+2.292145e+00	+3.484998e+06
8062641379	+4.057738e+00	-7.223913e-01	+1.733584e+06
8062641578	+9.116631e-01	+2.045141e+00	+1.608568e+06
8062641967	+4.980767e+00	+4.366514e+00	+1.999477e+06
8062642658	+6.121875e+00	-2.940149e+00	+3.639796e+06
8062643442	-5.859107e+00	-8.989374e+00	+2.559942e+06
8062646374	+7.868458e+00	-6.419018e+00	+4.687456e+06
8062647168	+3.409119e+00	+6.562741e-01	+1.102910e+07
8062647190	-3.092399e+00	+2.137907e+00	+4.432206e+06
8062647426	+6.751580e+00	-4.974901e+00	+6.051939e+06
8062647484	+8.637445e+00	+2.007016e+00	+1.232363e+07
8062647505	-2.527164e+00	-6.996577e+00	+3.201394e+06
8062647964	+7.694241e+00	+2.518469e+00	+6.090956e+06
8062648443	+8.223013e+00	+3.237569e+00	+1.049915e+07
8062648787	+1.009734e+00	-1.553621e-01	+6.014284e+06
8062648847	-6.766517e+00	+1.692234e+00	+2.191150e+06
8062649053	-2.418856e+00	-4.966483e+00	+5.671463e+06
8062655770	+3.049832e+00	+2.250857e+00	+1.572692e+07
8062658457	-4.733800e+00	-9.424618e-01	+1.219754e+07
8062660219	-2.235919e+00	+6.817038e+00	+2.256724e+06
8062660814	+5.417614e+00	-1.792912e+00	+1.846629e+06
8062661936	-2.381600e+00	+2.753159e-01	+6.588118e+06
8062662285	+3.799062e+00	+2.590555e+00	+7.074030e+06
8062663354	-8.251462e+00	-4.172112e-01	+4.839562e+06
8062663828	+2.159803e+00	+2.484247e+00	+2.449811e+07
8062664746	-1.281117e+00	+4.282246e+00	+5.848902e+06
8062665018	+2.487293e+00	+2.289939e+00	+2.959686e+06
8062666369	+1.474230e+00	-3.660869e+00	+3.496510e+06
8062668411	+5.706664e+00	-1.213479e+00	+7.880312e+06
8062669444	+3.351727e-01	-4.747411e+00	+2.126782e+06
8062669697	+9.045313e+00	-9.642708e-01	+7.423601e+06
8062670093	-1.750015e+00	+1.461607e+00	+6.631194e+06
8062671849	+3.855744e+00	+2.510793e+00	+3.487310e+06
8062672364	+3.155788e+00	+5.563188e+00	+2.138852e+06
8062672438	-2.682863e+00	-1.042197e+00	+2.781636e+06
8062673026	+6.284812e+00	-2.294483e+00	+9.431276e+06
8062674363	-6.023539e-01	+3.515767e+00	+6.122440e+06
8062674699	+1.617500e+00	+3.340703e+00	+2.601158e+06
8062674911	+3.890577e-01	+7.057933e+00	+4.126314e+06
8062675491	-7.738866e-01	-8.043737e+00	+5.637722e+06
8062675742	-1.774646e+00	+2.287214e+00	+4.586737e+06
8062676634	+6.572302e+00	-7.636459e-01	+4.831070e+06
8062676848	+5.148677e+00	+2.144285e+00	+4.144872e+06
8062676961	+5.313810e+00	-5.496377e+00	+3.376590e+06
8062677353	+5.546040e+00	+3.469298e+00	+4.729345e+06
8062678747	-7.824749e+00	-3.445067e+00	+6.456238e+06
8062679189	+5.991397e+00	+3.876704e+00	+5.157452e+06
8062679595	-4.825284e-01	+8.295474e+00	+7.636130e+06
8062680680	+5.316054e+00	+1.610998e+00	+5.018730e+06
8062683137	+5.190495e+00	-7.768298e+00	+3.294062e+06
8062683266	+6.873234e+00	-1.266958e+00	+4.702327e+06
8062683749	+3.115198e+00	+5.863723e+00	+4.922341e+06
8062683938	+8.523030e+00	-6.625667e-01	+3.398997e+06
8062684373	+5.640541e-01	-6.738020e+00	+2.961524e+06
8062684592	-2.949073e+00	+1.053645e+00	+5.647795e+06
8062686186	-1.653114e+00	+7.587925e+00	+6.451954e+06
8062686472	+5.270889e+00	-4.608273e+00	+8.229964e+06
8062686989	-4.067688e+00	+3.058679e+00	+3.055188e+06
8062695571	+2.182262e+00	-1.374331e+00	+2.713258e+07
8062699048	+1.487144e+00	+7.026887e+00	+6.901836e+06
8062699726	+1.925309e-01	+1.059138e+00	+1.247096e+07
8062701198	+6.135922e+00	+2.214589e+00	+2.133453e+06
8062701632	+2.775838e+00	-8.166751e+00	+3.183948e+06
8062702165	+2.153334e-01	+1.808846e+00	+5.614938e+06
8062702721	-8.404352e+00	+5.577065e+00	+2.889076e+06
8062703076	-2.570221e+00	+6.892791e+00	+9.501769e+06
8062704495	-2.389117e+00	+7.949639e+00	+3.957479e+06
8062704815	+2.053595e+00	-5.074481e+00	+3.136844e+06
8062705270	+5.484825e+00	+5.241216e-01	+8.040819e+06
8062705310	+7.652787e+00	-6.142713e-01	+3.838149e+06
8062705553	+5.779079e+00	+5.808984e+00	+3.111452e+06
8062705572	+5.684427e+00	+5.837604e+00	+2.733434e+06
8062706554	-4.380899e+00	+2.031604e+00	+7.959394e+06
8062706926	-3.672416e+00	-6.882114e+00	+2.594421e+06
8062706964	-4.817787e+00	-5.530954e+00	+5.487912e+06
8062707653	-5.756265e+00	+6.510501e+00	+3.199651e+06
8062708314	+1.942990e+00	-7.355847e+00	+1.299737e+07
8062709020	+1.119128e+00	+7.990013e+00	+8.501246e+06
8062709413	+4.564238e+00	+6.656387e-02	+1.183062e+07
8062710374	+2.663391e+00	-5.009687e+00	+9.553259e+06
8062710870	+7.353649e+00	-8.405408e+00	+4.311184e+06
8062713152	-2.918523e+00	-5.446727e+00	+5.885768e+06
8062713393	-1.866758e+00	-1.978097e-01	+1.550810e+07
8062714111	-4.446213e-03	-6.959257e+00	+1.096608e+07
8062714662	+5.425714e+00	-6.003753e-01	+4.092216e+06
8062715797	+7.260512e+00	-2.076283e+00	+5.359960e+06
8062718514	-8.583142e+00	+7.119062e+00	+3.621980e+06
8062719112	+7.150282e+00	-4.457768e+00	+5.255484e+06
8062719231	-2.452630e+00	-4.362187e+00	+6.479562e+06
8062723759	+3.463829e+00	+6.290806e+00	+4.612780e+06
8062725478	-1.216216e+00	-2.382244e+00	+7.211802e+06
8062725877	-6.709132e+00	-1.454437e+00	+6.267416e+06
8062726717	-5.597572e+00	-3.488484e-01	+2.523830e+06
8062727416	+1.541399e+00	+5.474776e+00	+5.520536e+06
8062729457	-8.428964e-01	-1.019354e+00	+1.673526e+06
8062730432	-7.388322e+00	+7.029399e+00	+9.156877e+06
8062730948	+1.105217e-02	-6.035311e+00	+5.144100e+06
8062731775	+6.357893e+00	-2.622986e-02	+8.056350e+06
8062732471	-9.052511e-01	+3.583043e+00	+5.191824e+06
8062732710	+7.624653e+00	-2.442559e+00	+3.419274e+06
8062733897	+7.154026e+00	+6.581908e+00	+6.257268e+06
8062734201	-1.947562e+00	+2.539294e+00	+2.916499e+06
8062734586	+2.006302e+00	+9.225616e+00	+2.466965e+06
8062735101	+6.798284e+00	-8.175811e+00	+5.107848e+06
8062735350	+1.497886e+00	-2.590512e+00	+6.674821e+06
8062735744	+1.220533e+00	+5.432401e+00	+9.435834e+06
8062736882	-7.945710e-01	+5.138219e+00	+5.924333e+06
8062737856	-1.636207e-01	+1.175398e+00	+4.685617e+06
8062738173	-3.287690e+00	-8.161496e+00	+1.761589e+06
8062739159	+1.020865e+00	+8.967541e+00	+1.178370e+07
8062739233	-3.927756e+00	-8.342857e+00	+5.389495e+06
8062739289	-7.463719e+00	+8.605034e+00	+7.884862e+06
8062739678	-4.057494e+00	-7.787858e-01	+3.959587e+06
8062740167	-7.274991e+00	+2.671864e+00	+6.719262e+06
8062740171	-5.972382e+00	+5.999048e+00	+1.774860e+07
8062740218	+3.385454e+00	+2.021587e-01	+1.232544e+07
8062740349	-5.312057e+00	+7.030559e+00	+4.502800e+06
8062740951	+3.339340e-01	-1.830704e+00	+1.125252e+07
8062741578	-5.490067e+00	-5.452382e+00	+7.149190e+06
8062741969	-2.845726e-01	+8.637522e-01	+3.470122e+06
8062742082	-8.339972e+00	-4.425628e+00	+1.867870e+07
8062742885	-6.840421e+00	+5.770413e+00	+3.700442e+06
8062743169	-2.267292e+00	-1.689041e+00	+6.698374e+06
8062744693	+1.613244e+00	+6.380685e+00	+5.214604e+06
8062746209	+5.498108e+00	-5.702759e+00	+1.745364e+10
8062746925	+8.619553e-01	+1.740179e+00	+2.437391e+07
8062749144	+2.466934e-01	-5.180511e-02	+1.397679e+07
8062749518	-6.278164e+00	-8.447315e-01	+9.446494e+06
8062749656	-1.193332e+00	+4.746040e+00	+3.469283e+07
8062749687	-2.803047e+00	+8.050923e+00	+1.818310e+07
8062751123	+7.133397e+00	-2.936684e+00	+1.685441e+07
8062751851	+8.165077e+00	+5.312743e+00	+2.329400e+07
8062753472	-7.665208e+00	+6.852738e+00	+1.780927e+07
8062755685	+3.874863e+00	+6.200175e+00	+2.312820e+07
8062755863	-5.262998e+00	-8.628673e-02	+1.355281e+07
8062756936	-7.479026e+00	-7.314689e+00	+2.591565e+07
8062759310	-2.138629e+00	-5.458382e+00	+5.403506e+06
8062761013	-3.925297e-01	-7.354811e+00	+2.160309e+07
8062761364	+1.454984e+00	+3.969387e+00	+1.015629e+07
8062761657	+6.846023e+00	+6.011510e+00	+3.639678e+06
8062761955	-8.283718e+00	+6.750641e+00	+6.660664e+06
8062762024	-5.685534e-01	+3.330566e+00	+1.212044e+07
8062763607	+1.883427e+00	-1.403973e+00	+2.482858e+07
8062764479	+2.713821e+00	+9.341770e-01	+7.400720e+06
8062765228	-6.958141e+00	-7.701405e+00	+3.572630e+06
